시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,231.0,2.63
서울특별시,중구,197.0,2.67
서울특별시,용산구,249.0,2.69
서울특별시,성동구,420.0,2.89
서울특별시,광진구,403.0,2.82
서울특별시,동대문구,498.0,2.96
서울특별시,중랑구,591.0,2.89
서울특별시,성북구,590.0,2.98
서울특별시,강북구,579.0,2.79
서울특별시,도봉구,516.0,2.93
서울특별시,노원구,471.0,2.97
서울특별시,은평구,698.0,2.94
서울특별시,서대문구,417.0,2.86
서울특별시,마포구,340.0,2.63
서울특별시,양천구,563.0,3.07
서울특별시,강서구,460.0,2.88
서울특별시,구로구,435.0,2.95
서울특별시,금천구,563.0,2.94
서울특별시,영등포구,353.0,2.78
서울특별시,동작구,466.0,3.05
서울특별시,관악구,617.0,2.88
서울특별시,서초구,254.0,2.86
서울특별시,강남구,319.0,2.82
서울특별시,송파구,415.0,2.88
서울특별시,강동구,623.0,3.04
부산광역시,중구,218.0,2.53
부산광역시,서구,420.0,2.9
부산광역시,동구,249.0,2.62
부산광역시,영도구,400.0,2.79
부산광역시,부산진구,433.0,2.72
부산광역시,동래구,457.0,2.87
부산광역시,남구,568.0,2.94
부산광역시,북구,555.0,2.93
부산광역시,해운대구,516.0,2.65
부산광역시,사하구,660.0,2.98
부산광역시,금정구,510.0,3.04
부산광역시,강서구,342.0,2.78
부산광역시,연제구,467.0,2.88
부산광역시,수영구,416.0,2.61
부산광역시,사상구,470.0,2.83
부산광역시,기장군,362.0,2.58
대구광역시,중구,241.0,2.59
대구광역시,동구,415.0,2.75
대구광역시,서구,465.0,2.82
대구광역시,남구,432.0,2.9
대구광역시,북구,556.0,2.92
대구광역시,수성구,535.0,2.87
대구광역시,달서구,605.0,2.93
대구광역시,달성군,527.0,2.9
대구광역시,군위군,364.0,2.45
인천광역시,중구,300.0,2.39
인천광역시,동구,371.0,2.89
인천광역시,미추홀구,575.0,2.9
인천광역시,연수구,608.0,2.98
인천광역시,남동구,554.0,2.86
인천광역시,부평구,591.0,2.87
인천광역시,계양구,519.0,2.88
인천광역시,서구,706.0,2.98
인천광역시,강화군,667.0,2.36
인천광역시,옹진군,860.0,2.38
광주광역시,동구,391.0,2.88
광주광역시,서구,469.0,2.76
광주광역시,남구,665.0,3.02
광주광역시,북구,638.0,2.97
광주광역시,광산구,643.0,2.91
대전광역시,동구,461.0,2.78
대전광역시,중구,456.0,2.76
대전광역시,서구,593.0,2.82
대전광역시,유성구,588.0,2.82
대전광역시,대덕구,525.0,2.74
울산광역시,중구,492.0,2.98
울산광역시,남구,521.0,2.83
울산광역시,동구,734.0,2.96
울산광역시,북구,536.0,2.89
울산광역시,울주군,492.0,2.79
세종특별자치시,세종특별자치시,877.0,2.99
경기도,수원시 장안구,432.0,2.92
경기도,수원시 권선구,549.0,2.87
경기도,수원시 팔달구,365.0,2.62
경기도,수원시 영통구,452.0,2.97
경기도,성남시 수정구,471.0,2.93
경기도,성남시 중원구,579.0,2.77
경기도,성남시 분당구,445.0,3.01
경기도,의정부시,647.0,2.91
경기도,안양시 만안구,478.0,2.84
경기도,안양시 동안구,518.0,2.93
경기도,부천시,599.0,2.96
경기도,부천시 원미구,450.0,2.89
경기도,부천시 소사구,523.0,2.96
경기도,부천시 오정구,432.0,2.94
경기도,광명시,393.0,2.91
경기도,평택시,949.0,3.0
경기도,동두천시,645.0,2.82
경기도,안산시 상록구,690.0,2.92
경기도,안산시 단원구,563.0,2.65
경기도,고양시 덕양구,475.0,2.94
경기도,고양시 일산동구,429.0,2.9
경기도,고양시 일산서구,434.0,2.92
경기도,과천시,325.0,3.09
경기도,구리시,345.0,2.86
경기도,남양주시,592.0,2.88
경기도,오산시,614.0,2.94
경기도,시흥시,594.0,2.87
경기도,군포시,557.0,2.95
경기도,의왕시,344.0,2.87
경기도,하남시,389.0,2.97
경기도,용인시 처인구,602.0,2.73
경기도,용인시 기흥구,530.0,3.03
경기도,용인시 수지구,591.0,3.03
경기도,파주시,635.0,2.89
경기도,이천시,598.0,2.85
경기도,안성시,554.0,2.85
경기도,김포시,610.0,2.94
경기도,화성시,699.0,2.88
경기도,광주시,618.0,2.9
경기도,양주시,611.0,2.82
경기도,포천시,698.0,2.61
경기도,여주시,529.0,2.68
경기도,연천군,710.0,2.6
경기도,가평군,759.0,2.27
경기도,양평군,544.0,2.47
충청북도,청주시 상당구,456.0,2.71
충청북도,청주시 서원구,568.0,2.93
충청북도,청주시 흥덕구,601.0,2.81
충청북도,청주시 청원구,595.0,2.85
충청북도,충주시,774.0,2.7
충청북도,제천시,913.0,2.53
충청북도,보은군,525.0,2.59
충청북도,옥천군,475.0,2.54
충청북도,영동군,716.0,2.67
충청북도,증평군,598.0,2.73
충청북도,진천군,760.0,2.88
충청북도,괴산군,558.0,2.53
충청북도,음성군,726.0,2.86
충청북도,단양군,572.0,2.37
충청남도,천안시 동남구,561.0,2.79
충청남도,천안시 서북구,755.0,2.79
충청남도,공주시,505.0,2.55
충청남도,보령시,898.0,2.39
충청남도,아산시,815.0,2.95
충청남도,서산시,863.0,2.76
충청남도,논산시,695.0,2.77
충청남도,계룡시,753.0,2.9
충청남도,당진시,678.0,2.78
충청남도,금산군,575.0,2.62
충청남도,부여군,692.0,2.58
충청남도,서천군,571.0,2.57
충청남도,청양군,779.0,2.6
충청남도,홍성군,724.0,2.77
충청남도,예산군,647.0,2.58
충청남도,태안군,1013.0,2.39
전라남도,목포시,802.0,2.75
전라남도,여수시,1132.0,2.53
전라남도,순천시,698.0,2.74
전라남도,나주시,654.0,2.76
전라남도,광양시,784.0,2.83
전라남도,담양군,349.0,2.43
전라남도,곡성군,577.0,2.61
전라남도,구례군,542.0,2.48
전라남도,고흥군,992.0,2.66
전라남도,보성군,590.0,2.57
전라남도,화순군,552.0,2.71
전라남도,장흥군,704.0,2.67
전라남도,강진군,645.0,2.66
전라남도,해남군,676.0,2.73
전라남도,영암군,626.0,2.77
전라남도,무안군,623.0,2.77
전라남도,함평군,515.0,2.58
전라남도,영광군,708.0,2.73
전라남도,장성군,514.0,2.73
전라남도,완도군,918.0,2.74
전라남도,진도군,862.0,2.59
전라남도,신안군,834.0,2.67
경상북도,포항시 남구,647.0,2.68
경상북도,포항시 북구,691.0,2.69
경상북도,경주시,727.0,2.46
경상북도,김천시,757.0,2.79
경상북도,안동시,889.0,2.74
경상북도,구미시,889.0,2.95
경상북도,영주시,1002.0,2.74
경상북도,영천시,607.0,2.65
경상북도,상주시,636.0,2.67
경상북도,문경시,672.0,2.52
경상북도,경산시,760.0,2.98
경상북도,의성군,653.0,2.62
경상북도,청송군,718.0,2.5
경상북도,영양군,1076.0,2.74
경상북도,영덕군,611.0,2.4
경상북도,청도군,584.0,2.36
경상북도,고령군,440.0,2.61
경상북도,성주군,563.0,2.52
경상북도,칠곡군,402.0,2.68
경상북도,예천군,818.0,2.71
경상북도,봉화군,706.0,2.65
경상북도,울진군,961.0,2.59
경상북도,울릉군,2336.0,3.1
경상남도,창원시 의창구,436.0,2.93
경상남도,창원시 성산구,475.0,2.86
경상남도,창원시 마산합포구,481.0,2.81
경상남도,창원시 마산회원구,508.0,2.94
경상남도,창원시 진해구,686.0,2.92
경상남도,진주시,921.0,2.89
경상남도,통영시,894.0,2.53
