시도명,방문자수,전년도 방문자수
서울특별시,6.00353926E8,5.73129305E8
부산광역시,1.51550474E8,1.41374299E8
대구광역시,1.03811188E8,1.01276324E8
인천광역시,1.83679996E8,1.62569192E8
광주광역시,6.7136998E7,6.4964444E7
대전광역시,8.2919413E7,7.7405727E7
울산광역시,4.9840246E7,4.7386111E7
세종특별자치시,2.7582897E7,2.7157386E7
경기도,6.36628148E8,6.13722594E8
충청북도,1.13928185E8,1.09362845E8
충청남도,1.66299079E8,1.6036448E8
전라남도,1.29643111E8,1.28060793E8
경상북도,1.80126627E8,1.80407938E8
경상남도,1.57432215E8,1.51782811E8
제주특별자치도,6.158181E7,6.7438852E7
강원특별자치도,1.51288519E8,1.5561446E8
전북특별자치도,9.6875748E7,9.5989752E7
