기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202303,26221.0,21867.0,19.9,3478.0,2834.0,22.7
202304,22855.0,22525.0,1.5,3619.0,3425.0,5.7
202305,24999.0,24147.0,3.5,3803.0,3822.0,-0.5
202306,23474.0,22848.0,2.7,3569.0,3625.0,-1.5
202307,25117.0,27152.0,-7.5,3589.0,3698.0,-3.0
202308,25907.0,25229.0,2.7,3506.0,3630.0,-3.4
202309,26790.0,25686.0,4.3,3456.0,3454.0,0.0
202310,26319.0,25812.0,2.0,3672.0,3858.0,-4.8
202311,23021.0,22890.0,0.6,3352.0,3390.0,-1.1
202312,23950.0,22140.0,8.2,3565.0,3531.0,1.0
202401,23066.0,23886.0,-3.4,2907.0,3193.0,-8.9
202402,24342.0,21613.0,12.6,2869.0,3112.0,-7.8
